Date,Open,High,Low,Close,Adj Close,Volume
2024-03-18,170.020004,174.720001,165.899994,173.800003,173.800003,108214358
2024-03-19,172.360001,172.820007,167.419998,171.320007,171.320007,77271428
2024-03-20,173.000000,176.250000,170.820007,175.660004,175.660004,83846726
2024-03-21,176.389999,178.179993,171.800003,172.820007,172.820007,73178014
2024-03-22,166.690002,171.199997,166.300003,170.830002,170.830002,75580637
2024-03-25,168.759995,175.240005,168.729996,172.630005,172.630005,74228615
2024-03-26,178.580002,184.250000,177.380005,177.669998,177.669998,113186227
2024-03-27,181.410004,181.910004,176.000000,179.830002,179.830002,81804043
2024-03-28,177.449997,179.570007,175.300003,175.789993,175.789993,77654838
2024-04-01,176.169998,176.750000,170.210007,175.220001,175.220001,81562127
2024-04-02,164.750000,167.690002,163.429993,166.630005,166.630005,116650594
2024-04-03,164.020004,168.820007,163.279999,168.380005,168.380005,82950141
2024-04-04,170.070007,177.190002,168.009995,171.110001,171.110001,123161960
2024-04-05,169.080002,170.860001,160.509995,164.899994,164.899994,143157603
2024-04-08,169.339996,174.500000,167.789993,172.979996,172.979996,104423320
2024-04-09,172.910004,179.220001,171.919998,176.880005,176.880005,103232675
2024-04-10,173.039993,174.929993,170.009995,171.759995,171.759995,84532407
2024-04-11,172.550003,175.880005,168.509995,174.600006,174.600006,94515987
2024-04-12,172.339996,173.809906,170.364395,171.050003,171.050003,64722669
2024-04-15,170.240005,170.690002,161.380005,161.479996,161.479996,100245310
2024-04-16,156.742004,158.190002,153.750000,157.110001,157.110001,96999956
2024-04-17,157.639999,158.330002,153.779999,155.449997,155.449997,82439718
2024-04-18,151.250000,152.199997,148.699997,149.929993,149.929993,96098830
2024-04-19,148.970001,150.940002,146.220001,147.050003,147.050003,87074500
2024-04-22,140.559998,144.440002,138.802505,142.050003,142.050003,107097564
2024-04-23,143.330002,147.259995,141.110001,144.679993,144.679993,124545104
2024-04-24,162.839996,167.970001,157.509995,162.130005,162.130005,181178020
2024-04-25,158.960007,170.880005,158.360001,170.179993,170.179993,126427521
2024-04-26,168.850006,172.119995,166.369995,168.289993,168.289993,109815725
2024-04-29,188.419998,198.869995,184.539993,194.050003,194.050003,243869678
2024-04-30,186.979996,190.949997,182.840103,183.279999,183.279999,127031787
2024-05-01,182.000000,185.860001,179.009995,179.990005,179.990005,92829719
2024-05-02,182.860001,184.600006,176.020004,180.009995,180.009995,89148041
2024-05-03,182.100006,184.779999,178.419998,181.190002,181.190002,75491539
2024-05-06,183.800003,187.559998,182.199997,184.759995,184.759995,84390253
2024-05-07,182.399994,183.259995,177.399994,177.809998,177.809998,75045854
2024-05-08,171.589996,176.059998,170.149994,174.720001,174.720001,79969488
2024-05-09,175.009995,175.619995,171.369995,171.970001,171.970001,65950292
2024-05-10,173.050003,173.059906,167.750000,168.470001,168.470001,72627178
2024-05-13,170.000000,175.399994,169.000000,171.889999,171.889999,67018903
2024-05-14,174.495895,179.490005,174.070007,177.550003,177.550003,86407422
2024-05-15,179.899994,180.000000,173.110001,173.990005,173.990005,79662993
2024-05-16,174.100006,175.789993,171.429993,174.839996,174.839996,59812220
2024-05-17,173.550003,179.630005,172.750000,177.460007,177.460007,77445845
2024-05-20,177.559998,177.753998,173.520004,174.949997,174.949997,61727425
2024-05-21,175.509995,186.875000,174.710007,186.600006,186.600006,115266512
2024-05-22,182.850006,183.800003,178.119995,180.110001,180.110001,88313477
2024-05-23,181.800003,181.899994,173.259995,173.740005,173.740005,71975496
2024-05-24,174.835007,180.080002,173.729996,179.240005,179.240005,65584478
2024-05-28,176.399994,178.250000,173.160004,176.750000,176.750000,59736620
2024-05-29,174.190002,178.149994,173.929993,176.190002,176.190002,54782649
2024-05-30,178.574997,182.669998,175.380005,178.789993,178.789993,77784755
2024-05-31,178.500000,180.320007,173.820007,178.080002,178.080002,67314602
2024-06-03,178.130005,182.638901,174.490005,176.289993,176.289993,68568920
2024-06-04,174.774994,177.755005,174.000000,174.770004,174.770004,60056340
2024-06-05,175.350006,176.149994,172.130005,175.000000,175.000000,57953756
2024-06-06,174.600006,179.729996,172.729996,177.940002,177.940002,69887024
2024-06-07,176.130005,179.350006,175.580002,177.479996,177.479996,56244932
2024-06-10,176.059998,178.570007,173.169998,173.789993,173.789993,50869682
2024-06-11,173.919998,174.750000,167.410004,170.660004,170.660004,64761928
2024-06-12,171.119995,180.550003,169.800003,177.289993,177.289993,90389446
2024-06-13,188.389999,191.080002,181.229996,182.470001,182.470001,118984122
2024-06-14,185.800003,186.000000,176.919998,178.009995,178.009995,82038194
2024-06-17,177.919998,188.809998,177.000000,187.440002,187.440002,109786083
2024-06-18,186.559998,187.199997,182.369995,184.860001,184.860001,68982265
2024-06-20,184.679993,185.210007,179.660004,181.570007,181.570007,55893139
2024-06-21,182.300003,183.949997,180.690002,183.009995,183.009995,63029482
2024-06-24,184.970001,188.800003,182.550003,182.580002,182.580002,61992070
2024-06-25,184.399994,187.970001,182.009995,187.350006,187.350006,63678265
2024-06-26,186.539993,197.755005,186.360001,196.369995,196.369995,95737066
2024-06-27,195.169998,198.720001,194.050003,197.419998,197.419998,72746521
2024-06-28,199.550003,203.199997,195.259995,197.880005,197.880005,95438068
2024-07-01,201.020004,213.229996,200.850006,209.860001,209.860001,135691395
2024-07-02,218.889999,231.300003,218.059998,231.259995,231.259995,205047920
2024-07-03,234.559998,248.350006,234.250000,246.389999,246.389999,166561471
2024-07-05,249.809998,252.369995,242.460098,251.520004,251.520004,154501152
2024-07-08,247.710007,259.438995,244.570007,252.940002,252.940002,157219580
2024-07-09,251.000000,265.609985,250.300003,262.329987,262.329987,160742516
2024-07-10,262.799988,267.589996,257.859985,263.260010,263.260010,128519430
2024-07-11,263.299988,271.000000,239.649994,241.029999,241.029999,221707273
2024-07-12,235.800003,251.839996,233.091202,248.229996,248.229996,152277415
2024-07-15,255.970001,265.600006,251.729996,252.639999,252.639999,146912920
2024-07-16,255.309998,258.619995,245.800095,256.559998,256.559998,125672964
2024-07-17,252.865005,258.470001,246.182007,248.500000,248.500000,115171750
